위치,조항,제목,내용
서울대학교 학칙,18,대학원장,"ⓛ 일반대학원에 원장을 두며, 대학원장은 부총장 중에서 총장이 임명한다.〔개정 2021. 3. 1.〕 ② 대학원장은 일반대학원의 행정을 통할하고, 일반대학원 학생의 교육과 부속시설 운영을 담당한다. 다만, 대학 원장이 제10조에 따라 대학원과정의 학생교육을 학장, 전문대학원장 및 기초교육원장에게 위탁할 때에는 해당 학장, 전문대학원장 및 기초교육원장이 담당한다. [개정 2020. 6. 11.]"
서울대학교 학칙,20,학장 및 원장의 선임,"① 각 대학에는 학장추천위원회를, 각 전문대학원에는 원장추천위원회(이하 “추천위원 회”라 한다)를 둔다. ② 추천위원회의 구성과 운영에 관한 규정은 각 대학(원)에서 따로 정하되, 교원인사위원회에 보고한다. ③ 추천위원회는 2명 이상의 학(원)장 후보를 총장에게 추천한다. 다만, 학(원)장이 연임으로 추천되는 경우는 예 외로 할 수 있다. ④ 추천위원회는 특별한 사유가 없는 한 차기 학(원)장의 임기가 시작되기 전 60일에서 30일 사이에 후보를 추천 한다. ⑤ 총장은 추천위원회의 추천을 참고하여 학(원)장 후보 1명을 정하고, 교원인사위원회의 심의를 거쳐 학(원)장에 임명한다."
서울대학교 학칙,21,학부장 및 학과장,"① 대학과 대학원의 학부 또는 학과(전공)에 학부장 또는 학과장(전공주임교수)을 두되, 교 수 중에서 학장 또는 전문대학원장의 제청에 의하여 총장이 임명한다. 다만, 학사운영상 부득이한 사유가 있는 경 우 부교수 중에서 임명할 수 있다. ② 대학과 대학원의 학부장 또는 학과장(전공주임교수)은 상호 겸보할 수 있다. ③ 학부장 및 학과장은 학부 및 학과의 운영을 통할하고 학사과정과 대학원과정의 학생 교육과 지도에 관하여 학 (원)장을 보조한다."
서울대학교 학칙,22,교수회,"① 대학과 전문대학원에 중요사항을 심의·의결하기 위하여 교수회를 둔다. ② 교수회는 전임교원으로 구성하며 의장은 학(원)장이 된다. ③ 교수회는 의장이 소집하되, 재적교수 3분의 1 이상의 요구가 있을 때에는 소집하여야 한다. ④ 교수회는 재적교원 과반수의 출석과 출석교원 과반수의 찬성으로 의결한다. ⑤교수회는 해당 대학(원)의 평의원 선출에 관한 사항과 학(원)장의 소관업무 중 다음 각 호의 사항을 심의·의결 한다. 1. 학칙·제 규정의 제정과 개정 발의에 관한 사항 2. 입학, 수료 및 졸업에 관한 사항 3. 학생지도, 장학 및 후생에 관한 사항 4. 학생 포상 및 징계에 관한 사항 5. 교과과정에 관한 사항 6. 각 대학(원) 인사위원회 위원의 선출에 관한 사항법제처                                                            5                                                       국가법령정보센터  서울대학교 학칙  7. 학부 또는 학과간의 업무 조정에 관한 사항 8. 학부 또는 학과의 설치 및 폐지에 관한 건의사항 9. 그 밖에 교수회에서 필요하다고 인정하는 사항 ⑥ 교수회 심의사항 중 일부 사항을 심의·의결하기 위하여 필요한 경우 별도의 위원회를 구성 운영할 수 있다.               제3절 부속시설 및 부설학교"
서울대학교 학칙,23,부속시설,"① 본교에 지원시설로 중앙도서관과 기초교육원을 둔다. ② 본교에 「산업교육진흥 및 산학연협력촉진에 관한 법률」에 따라 산학협력단을 둔다. ③ 본교에 연구시설과 부속시설을 두며, 각 시설의 설치와 운영에 관한 사항은 따로 정한다. ④ 지원시설·연구시설·부속시설(이하“부속시설”이라 한다)에 각각 장을 두되, 부속시설의 장은 관련 대학·대학원 ·학과 또는 학부의 장으로 겸보하는 것을 원칙으로 한다. ⑤ 부속시설의 장은 총장 또는 학(원)장의 명을 받아 그 부속시설에 관한 사무를 통할하고 소속 교직원을 지휘·감 독한다. ⑥ 총장은 부속시설 중 「대학설립·운영규정」 제4조제1항에 따른 연구시설 및 부속시설(공통시설은 제외한다)에 대하여는 매 3년마다 해당시설의 운영실적을 평가하여 존속 또는 폐지여부를 결정한다.  이 경우 평가와 존속 및 폐지에 관한 세부 사항은 따로 정한다."
서울대학교 학칙,24,중앙도서관,"① 중앙도서관에 관장을 두며, 교수 또는 부교수로 겸보한다. ② 중앙도서관장은 도서 및 학술정보자료의 수집, 관리 및 열람에 관한 사항을 담당한다. ③ 중앙도서관에 전문분야별로 분관을 둘 수 있으며, 각 분관에는 분관장을 두되, 교수 또는 부교수로 겸보한다. ④ 중앙도서관 및 분관의 운영에 관한 사항은 따로 정한다."
서울대학교 학칙,25,기초교육원,"① 기초교육원에 원장을 두고, 원장은 교수 또는 부교수로 겸보한다. ② 기초교육원장은 학사과정 기초교양교육과 학사과정 전공교과목 및 대학원과정의 교과목 중 학사운영위원회 에서 공통교과목으로 정한 교과목 교육, 온라인교육과 교수·학습 지원에 관한 사항을 담당한다. 〔개정 2021. 3. 1.〕 ③ 기초교육원장의 직무를 보조하기 위하여 기초교육부원장과 교수학습부원장을 두며, 교수 또는 부교수로 겸보 한다. 〔개정 2021. 3. 1.〕 ④ 기초교육부원장은 기초교양 ?공통교과목 교육에 관하여, 교수학습부원장은 온라인교육과 교수·학습 지원에 관하여 원장을 보조하며, 원장이 부득이한 사유로 직무를 수행할 수 없을 때에는 기초교육부원장, 교수학습부원 장의 순서로 그 직무를 대행한다.〔개정 2021. 3. 1.〕 ⑤ 기초교육원의 운영에 관한 사항은 따로 정한다."
서울대학교 학칙,26,산학협력단,"① 산학협력단장은 연구부총장으로 겸보하고, 산학협력계약의 체결과 그 이행, 산학협력 사업 과 관련한 회계의 관리, 대학의 시설 및 운영의 지원에 관한 사항 등을 담당한다.〔개정 2021. 3. 1.〕 ② 산학협력단에 연구정책부단장과 사업부단장을 두고 연구정책부단장은 연구처장으로, 사업부단장은 창업지원 단장으로 각각 겸보한다. 〔개정 2021. 3. 1., 2022. 6. 8.〕 ③ 산학협력단에 산학협력단장과 연구정책부단장을 보조하기 위하여 운영본부장을 두며, 연구부처장이 겸보한 다.〔개정 2021. 3. 1.〕 ④ 산학협력단 업무는 연구처 직원이 겸무할 수 있다. ⑤ 산학협력단의 세부조직 및 운영, 감사의 선임 및 감사 실시에 관한 사항은 산학협력단 정관으로 정한다."
서울대학교 학칙,27,부설학교,"① 사범대학에 「국립대학법인 서울대학교 정관」(이하 “정관”이라 한다) 제54조제1항에 따른 다음 각 호의 초·중등학교를 설치·운영한다.법제처                                                            6                                                       국가법령정보센터  서울대학교 학칙  1. 국립대학법인 서울대학교 사범대학 부설고등학교 2. 국립대학법인 서울대학교 사범대학 부설중학교 3. 국립대학법인 서울대학교 사범대학 부설여자중학교 4. 국립대학법인 서울대학교 사범대학 부설초등학교 ② 제1항 각 호의 학교(이하 “부설학교”라 한다)에 교장을 두며, 교장은 해당 학교의 교무를 통할하고 소속 교직 원을 지휘·감독하며 학생을 지도한다. ③ 총장은 부설학교의 장을 지휘·감독한다. 다만, 총장은 이를 서울대학교 사범계 단과대학의 장 또는 부설학교진 흥원장에게 위임할 수 있다. [개정 2020. 2. 17.] ④ 부설학교의 운영에 필요한 그 밖의 사항(학교별 위원회의 설치·운영을 포함한다)은 각 부설학교의 학칙으로 정한다. [전문개정 2014. 5. 28.]   제27조의2(부설학교진흥원) ① 각 부설학교를 통할하기 위해서 부설학교진흥원을 둔다. ② 부설학교진흥원은 다음 각 호의 업무를 수행한다. 1.부설학교의 통합 운영 및 지원에 관한 사항 2. 부설학교 교원 복무에 관한 사항 3. 부설학교 교원 급여 및 복지의 행정지원에 관한 사항 4. 부설학교 교육사업 및 장학에 관한 사항 5. 부설학교 발전계획 수립 및 추진에 관한 사항 6. 부설학교 예산 및 시설의 행정지원에 관한 사항 7. 교육실습 지원, 현장교육 연구사업 등 초·중등 교육연구사업에 관한 사항 8.그 밖에 부설학교 운영에 관한 중요한 사항 ③ 부설학교진흥원에는 원장과 부원장을 두며, 원장과 부원장의 임명에 관한 사항은 따로 정한다. [본조신설 2020. 2. 17.]               제4절 행정조직"
서울대학교 학칙,28,처·국 등,"① 본교에 교무처, 학생처, 연구처, 기획처, 사무국, 시설관리국, 입학본부, 국제협력본부, 정보화본부 , 시흥캠퍼스본부 및 창업지원단을 둔다. [개정 2020. 2. 27., 2022. 6. 8.] ② 제1항의 조직에 두는 처장·부처장, 국장, 본부장·부본부장 등의 보임에 관한 사항과 그 하부조직에 관한 사항 은 따로 정한다."
서울대학교 학칙,29,교무처,"① 교무처에 처장을 둔다. ② 교무처장은 교원 및 조교의 인사, 학생교육, 국내 학술교류, 대학원 지원, 학적 및 수업관리에 관한 사항을 담 당한다. ③ 교무처장의 직무를 보조하기 위하여 교무부처장과 교육부처장을 둔다. ④ [삭제 2024. 1. 1.] ⑤ [삭제 2024. 1. 1.]"
서울대학교 학칙,30,학생처,"① 학생처에 처장을 둔다. ② 학생처장은 학생지원, 학생소통, 복지 및 장학에 관한 사항을 담당한다. ③ 학생처장의 직무를 보조하기 위하여 부처장을 둔다."
서울대학교 학칙,31,연구처,"① 연구처에 처장을 둔다.법제처                                                            7                                                       국가법령정보센터  서울대학교 학칙  ② 연구처장은 연구진흥정책 수립, 학술교류활동 지원, 연구소(원)의 설치 및 폐지 등 연구 및 산학협력에 관한 사항을 담당한다. ③ 연구처장의 직무를 보조하기 위하여 부처장을 둔다."
서울대학교 학칙,32,기획처,"① 기획처에 처장을 둔다. ② 기획처장은 대학운영의 기획·조정, 대학재정, 법무, 대외협력, 홍보, 평가, 회계 및 성과관리에 관한 사항을 담 당한다. [개정 2024. 1. 1.] ③ 기획처장의 직무를 보조하기 위하여 기획부처장, 협력부처장, 재정전략실장을 둔다. ④ [삭제 2024. 1. 1.] ⑤ [삭제 2024. 1. 1.] ⑥ [삭제 2024. 1. 1.]"
서울대학교 학칙,33,사무국,① 사무국에 국장을 둔다. ② 사무국장은 직원인사 및 총무에 관한 사항을 담당한다. [개정 2024. 1. 1.]
서울대학교 학칙,34,시설관리국,① 시설관리국에 국장을 둔다. ② 시설관리국장은 학교시설의 건축 및 관리에 관한 사항을 담당한다.
서울대학교 학칙,35,입학본부,① 입학본부에 본부장을 둔다. ② 입학본부장은 입학 및 학생선발에 관한 사항을 담당한다. ③ 입학본부장의 직무를 보조하기 위하여 부본부장을 둔다.
서울대학교 학칙,36,국제협력본부,① 국제협력본부에 본부장을 둔다. ② 국제협력본부장은 국제교류 및 외국인 교직원·학생 지원에 관한 사항을 담당한다. ③ 국제협력본부장의 직무를 보조하기 위하여 부본부장을 둔다.
서울대학교 학칙,37,정보화본부,"① 정보화본부에 본부장을 둔다. ② 정보화본부장은 대학정보화 종합 기획·조정, 정보시스템의 개발·운영, 전산망 구축 및 정보보안에 관한 사항을 담당한다. ③ 정보화본부장의 직무를 보조하기 위하여 부본부장을 둔다.   제37조의2(시흥캠퍼스본부) ① 시흥캠퍼스본부에 본부장을 둔다. ② 시흥캠퍼스본부장은 시흥캠퍼스 운영과 관련된 총괄적인 기획·조정, 재무관리, 신규 사업 발굴, 정부 및 지방 자치단체 사업 유치, 시흥캠퍼스 관련 대외협력 및 홍보에 관한 사항을 담당한다. ③ 시흥캠퍼스본부장의 직무를 보조하기 위하여 부본부장을 둔다. [본조신설 2020. 2. 27.]   제37조의3(창업지원단) ① 창업지원단에 단장을 둔다. ② 창업지원단장은 창업 관련 신사업 기획·발굴 및 창업 지원에 관한 사항을 담당한다. [본조신설 2022. 6. 8.]               제5절 위원회 등〔제목개정 2019.6.12.〕"
서울대학교 학칙,38,기획위원회,"① 본교의 발전계획에 관한 주요사항을 심의하기 위하여 기획위원회를 둔다. ② 기획위원회는 기획부총장·교무처장·학생처장·연구처장·기획처장·사무국장·시설관리국장·기획부처장과 총장이 임명하는 20명 이내의 교수 또는 부교수로 구성하며, 위원장은 기획부총장이 되고, 부위원장은 기획처장이 된다.법제처                                                            8                                                       국가법령정보센터  서울대학교 학칙  ③ 기획위원회는 다음 각 호의 사항을 심의한다. 1. 중·장기교육 및 연구계획에 관한 사항 2. 제도 개선에 관한 사항 3. 중·장기 시설계획 및 활용에 관한 사항 4. 그 밖에 기획 및 조정을 필요로 하는 사항 ④ 기획위원회에 일부사항을 심의하기 위하여 필요할 경우 별도의 소위원회를 구성·운영할 수 있다. ⑤ 기획위원회는 위원장이 소집한다."
서울대학교 학칙,39,교육위원회,"① 대학의 교육목표, 교육방향 등 교육활동의 주요사항을 심의하기 위하여 교육위원회를 둔다. ② 교육위원회는 교육부총장, 기초교육원장, 교무처장, 학생처장, 입학본부장, 국제협력본부장, 교육부처장과 총 장이 임명·위촉하는 학내외 인사를 포함하여 16명 이내의 위원으로 구성하며, 위원장은 교육부총장과 임명·위촉 된 위원 중 호선된 사람이 공동으로 한다. [개정 2024. 2. 29.] ③ 교육위원회는 다음 각 호의 사항을 심의한다. 1. 대학의 교육이념, 교육목표, 교과과정의 기본 방향 및 정책 설정에 관한 사항 2. 입학정책 및 인재육성의 기본 방향에 관한 사항 [신설 2019. 6. 12.] 3. 각급 학위과정의 교과과정 편성원칙 및 교육방법 개선에 관한 사항 4. 학과(부)별 교육활동 평가에 관한 사항 5. 그 밖에 교육의 질을 제고하기 위한 사항 ④ 교육위원회의 효율적인 운영을 위하여 분야별 특별위원회 및 전문위원을 둘 수 있다. ⑤ 교육위원회는 위원장이 소집한다. ⑥ 교육위원회 운영에 필요한 세부사항은 따로 정할 수 있다. [신설 2019. 6. 12.]"
서울대학교 학칙,40,대학원위원회,"① 대학원과정에 관한 중요사항을 심의하기 위하여 대학원위원회를 둔다. ② 대학원위원회는 총장·교육부총장·연구부총장·기획부총장·학장·전문대학원장·자유전공학부장·첨단융합학부장 ·기초교육원장·교무처장·학생처장·연구처장·기획처장·입학본부장·국제협력본부장과 교수 또는 부교수 중에서 총장 이 임명하는 약간 명의 위원으로 구성하며, 위원장은 총장이 되고 부위원장은 교육부총장이 된다. [개정 2020. 6. 11., 2023. 8. 31.] ③ 대학원위원회는 다음 각 호의 사항을 심의한다. [개정 2020. 6. 11.] 1. 연구중심대학으로서의 발전계획 수립과 관련 정책에 관한 사항 2. 대학원 교육 강화를 위한 입학, 학사과정과의 연계 문제, 융합교육에 관한 사항 3. 석사·박사학위과정의 설치와 폐지 및 학생정원에 관한 사항 4. 학위심사의 제도와 절차에 관한 사항 5. 대학원과정의 입학·수료 및 학위수여의 제도에 관한 사항 6. 박사학위와 명예박사학위 수여에 관한 사항 7. 대학원과정의 운영에 관한 제규정의 제정 및 개폐에 관한 사항 8. 석사·박사학위논문제출자격 외국어시험 및 종합시험에 관한 사항 9. 그 밖에 대학원과정 운영에 관한 중요사항 ④ 대학원위원회에 분과위원회와 상임위원을 둘 수 있다. ⑤ 대학원위원회는 위원장이 소집한다. ⑥ 대학원위원회는 재적위원 과반수의 출석과 출석위원 과반수의 찬성으로 의결한다. 다만, 제3항제4호에 관한 의결은 출석위원 3분의 2 이상의 찬성이 있어야 한다. ⑦ 대학원 학사업무를 원활히 집행하기 위해서 각 대학(원)별로 대학원 학사위원회를 두며, 그 조직과 운영에 관 한 사항은 따로 정한다.  법제처                                                            9                                                       국가법령정보센터  서울대학교 학칙"
서울대학교 학칙,41,교원인사위원회,"① 대학교원의 인사에 관한 중요한 사항을 심의하기 위하여 교원인사위원회를 둔다. ② 교원인사위원회는 교육부총장·대학원장·학(원)장·자유전공학부장·첨단융합학부장·기초교육원장·교무처장·학생 처장·연구처장·기획처장과 교수인 전임교원 중에서 총장이 임명하는 8명 이내의 위원으로 구성하며 위원장은 교 무처장이 되고 부위원장은 위원 중에서 1명을 선출한다. [개정 2021. 5. 31.,2023. 8. 31.] ③ 교원인사위원회는 다음 각 호의 사항을 심의한다. 1. 교수, 부교수, 조교수의 신규채용, 재임용, 승진임용, 정년보장임용에 관한 사항 2. 강사의 신규채용, 재임용에 관한 사항 3. 부총장, 학(원)장 등 임용에 관한 사항 4. 그 밖에 총장이 교원인사와 관련하여 심의를 요구하는 사항 ④ 교원인사위원회의 회의는 총장의 요청이 있을 때 또는 위원장이 필요하다고 인정할 때 위원장이 소집한다. ⑤ 전체 위원 중 여성위원이 5분의 1 이상이 되도록 하며, 임기는 1년으로 하되 중임할 수 있다. [개정 2021. 5. 31.] ⑥ 교원인사위원회는 재적위원 과반수의 출석과 출석위원 과반수의 찬성으로 의결한다. ⑦ 대학(원)에 인사위원회를 두며, 이에 관한 세부사항은 따로 정한다."
서울대학교 학칙,42,기초교육위원회,"① 학사과정 기초교양교육과 공통교과목 교육, 온라인 교육과 교수·학습 지원에 관한 중요 사항을 심의하기 위하여 기초교육위원회를 둔다. 〔개정 2021. 3. 1.〕 ② 기초교육위원회는 교육부총장·기초교육원장·기초교육원 기초교육부원장·기초교육원 교수학습부원장·교육부처 장·학생부처장과 총장이 임명·위촉하는 학내외 인사를 포함하여 16명 이내의 위원으로 구성하며, 위원장은 교육 부총장이 되고 부위원장은 기초교육원장이 된다. 〔개정 2021. 3. 1.〕 ③ 기초교육위원회는 다음 각 호의 사항을 심의한다. 〔개정 2021. 3. 1.〕 1. 교양교과과정의 편성·개편과 운영에 관한 사항 2. 학사과정 전공교과목 및 대학원과정의 교과목 중 학사운영위원회에서 공통교과목으로 정한 교과목의 운영에 관한 주요 사항  3. 온라인교육과 교수·학습 지원 기본계획 수립에 관한 사항 4. 그 밖에 학사과정의 기초교양교육 등에 관한 주요 사항 ④ 기초교육위원회에 분야별 소위원회를 둘 수 있다."
서울대학교 학칙,43,학사운영위원회,"① 대학(원)의 교과과정과 학사운영에 관한 중요한 사항을 연구·심의하기 위하여 학사운영 위원회를 둔다. ② 학사운영위원회는 교무처장·교무부처장·교육부처장·입학본부 부본부장·기초교육원 기초교육부원장·각 대학(원 ) 교무부학(원)장, 자유전공학부 교무부학부장 및 첨단융합학부 교무부학부장으로 구성하며, 위원장은 교무처장 이 되고 부위원장은 교무부처장이 된다. [개정 2021. 3. 1.,2023. 8. 31.] ③ 학사운영위원회는 다음 각 호의 사항을 연구·심의한다. 1. 각급 학위과정의 교과과정 편성·개편과 운영에 관한 사항 2. 수료 및 학위수여 대상자 선정에 관한 사항 3. 그 밖에 대학의 학사운영에 관한 주요사항 ④ 학사운영위원회에 분과위원회를 둘 수 있다. ⑤ 전항의 사항을 사전 심의하기 위하여 대학(원)별로 대학(원)학사운영위원회를 둔다."
서울대학교 학칙,44,미래연구위원회,"① 교원의 학술 연구에 관한 중요사항을 심의하고, 국가적 연구과제 등 미래 연구에 대한 종 합적·체계적인 기획을 수립하기 위하여 미래연구위원회를 둔다.   ② 미래연구위원회는 연구부총장, 연구처장, 연구부처장과 총장이 임명하는 교원을 포함하여 20명 이내로 구성 한다. [개정 2022. 1. 3.]법제처                                                            10                                                       국가법령정보센터  서울대학교 학칙  ③ 위원장은 연구부총장이 되며, 부위원장은 연구처장과 위원 중에서 총장이 임명하는 1명을 포함하여 2명으로 한다. ④ 미래연구위원회는 다음 각 호의 기능을 수행한다. 1. 연구의 계획, 관리, 운영, 지원 및 연구윤리 등 주요사항에 대한 심의 2. 전지구적 과제에 대한 연구개발 정책 수립 및 방향 제시 3. 본교의 연구환경과 인프라 구축을 위한 중장기 계획 수립 4. 국가의 미래 연구 수요 예측과 이를 반영한 연구진흥에 관한 사항 5. 정부 및 산업계 연구개발 인력네트워크 구축 6. 그 밖에 미래가치 창출에 필요한 연구기획 ⑤ 미래연구위원회 운영에 필요한 세부사항은 따로 정할 수 있다."
